4,[array([-6.97567678])],[array([6.57751051])],-2.838374832217385
4,[array([5.16742508])],[array([0.42175723])],2.0192659140178173
0,[array([-8.16520657])],[array([-4.24619109])],0.37517983794982257
4,[array([-1.96276864])],[array([1.96295401])],2.297738772080675
4,[array([-0.02898402])],[array([-0.14743899])],1.5411098123785314
0,[array([-2.07845319])],[array([-7.85091734])],1.9676809404633777
4,[array([-5.56028573])],[array([4.98710136])],2.964156764296808
4,[array([-10.55195216])],[array([-0.73685426])],-0.23127780669381343
4,[array([-4.17053236])],[array([0.3687778])],-0.5826544056172163
0,[array([-2.47735024])],[array([-0.07042472])],-2.797512510272552
0,[array([-0.30827544])],[array([-0.42253655])],1.3503823914197803
0,[array([-0.32664768])],[array([-0.43845672])],1.3649170104634585
0,[array([-0.36767615])],[array([-0.4571098])],1.389392370978742
4,[array([6.73901289])],[array([-1.94231677])],-1.9182303390600843
4,[array([-0.00978201])],[array([0.79364357])],1.6295564347026057
0,[array([-0.42679421])],[array([-0.56902602])],1.4245053886852315
0,[array([-0.39581264])],[array([-0.55819139])],1.4390948100585925
0,[array([-0.3903963])],[array([-0.55199849])],1.3909662952510615
0,[array([-0.38812726])],[array([-0.54902048])],1.3710127430381873
0,[array([-0.38403063])],[array([-0.54366486])],1.3388874981539223
0,[array([-4.20683182])],[array([-3.36099194])],-1.7744374822602076
4,[array([-0.73816937])],[array([2.72761737])],0.9822928539713973
4,[array([-8.79077953])],[array([-1.9390381])],-1.8733150733744883
4,[array([-12.15280812])],[array([-5.50932788])],-2.078675974708709
4,[array([0.46039202])],[array([-0.33274636])],-1.948168870728665
2,[array([7.9307149])],[array([-2.88135603])],-0.7986323457411642
4,[array([-5.6735139])],[array([-1.96145236])],0.29428328587400615
4,[array([-9.75974508])],[array([5.13543105])],-0.25968105052086027
0,[array([-0.44619605])],[array([-0.57948523])],1.4927645527608842
4,[array([-7.60649256])],[array([-0.73090543])],-0.8387776603994601
0,[array([-0.4441076])],[array([-0.58483193])],1.4421449429052555
4,[array([-7.92082077])],[array([-3.13763743])],-1.7035328871199218
0,[array([-0.43629811])],[array([-0.58800096])],1.3541117301101013
0,[array([-0.43601482])],[array([-0.58982001])],1.31740249624986
0,[array([-0.43363458])],[array([-0.59494584])],1.299055209075389
4,[array([-7.89174303])],[array([-2.89194703])],-1.136487406497795
0,[array([-0.43084652])],[array([-0.60178332])],1.2613388485662402
4,[array([1.88242948])],[array([4.22479073])],-1.4990404705408165
0,[array([-0.43565099])],[array([-0.60243669])],1.216291520657208
2,[array([-0.52633171])],[array([-0.56215321])],0.7286388412248022
2,[array([-0.53203796])],[array([-0.55778473])],0.6699194765306108
0,[array([-0.53571488])],[array([-0.48587594])],0.4487418295025503
2,[array([-0.55188418])],[array([-0.54426932])],0.5916579018371794
0,[array([-0.56579845])],[array([-0.52343046])],0.4613105846794568
2,[array([-0.56037093])],[array([-0.53818195])],0.5538223908564595
0,[array([-0.58829226])],[array([-0.51729717])],0.36917251971419596
2,[array([-0.58571459])],[array([-0.52237268])],0.4476324095860035
2,[array([1.3987753])],[array([-0.20705308])],2.7740566437383487
0,[array([-0.59904492])],[array([-0.51795075])],0.3161490955891759
4,[array([4.80373217])],[array([-3.76006138])],0.3143138248366691
2,[array([-0.63110216])],[array([-0.52163619])],0.21008657048668963
0,[array([-0.60829868])],[array([-0.52090999])],0.2619568221927615
2,[array([-0.63985297])],[array([-0.52425947])],0.22322883555578976
0,[array([-0.62607709])],[array([-0.53349125])],0.18573121102171886
2,[array([-0.64390699])],[array([-0.52197785])],0.2653587712211905
0,[array([-0.63032267])],[array([-0.53268627])],0.19769358351640598
2,[array([-0.64655175])],[array([-0.52237956])],0.2857968692233879
0,[array([-0.63367281])],[array([-0.52771562])],0.2521611991588095
2,[array([-0.64756345])],[array([-0.52866056])],0.29261815706788774
0,[array([-0.63482926])],[array([-0.53622232])],0.2635218537090873
2,[array([-0.64408493])],[array([-0.53732966])],0.28895647793707974
0,[array([-0.63275184])],[array([-0.54493327])],0.2676908674543892
2,[array([-0.6408686])],[array([-0.53845401])],0.29143510705485853
0,[array([-0.62303351])],[array([-0.54592174])],0.27742506358991736
2,[array([-0.6353814])],[array([-0.53802615])],0.2969519903758578
0,[array([-0.61382428])],[array([-0.54464313])],0.27791186840104043
4,[array([-2.84476802])],[array([4.40221788])],0.5111404186050449
2,[array([-0.61677737])],[array([-0.53842359])],0.29868727761913993
0,[array([-0.59959353])],[array([-0.54866188])],0.2811776313279566
2,[array([-0.6091679])],[array([-0.54218176])],0.30385110532303694
2,[array([-0.602343])],[array([-0.54374232])],0.3138756399280292
0,[array([-0.59375448])],[array([-0.54925001])],0.28358134922776745
4,[array([-1.88897599])],[array([-1.30106799])],-2.9576146327717705
2,[array([-0.60153233])],[array([-0.54450928])],0.3192196737117918
0,[array([-0.59088652])],[array([-0.55068942])],0.29214709582278253
2,[array([-0.59972145])],[array([-0.54562499])],0.3440175548382581
0,[array([-0.58930613])],[array([-0.55027343])],0.3029443923655215
2,[array([-0.59891671])],[array([-0.54735981])],0.3518925352421332
0,[array([-0.58863909])],[array([-0.55144566])],0.3213076409930098
2,[array([-0.5974614])],[array([-0.54918187])],0.3567792970468342
0,[array([-0.58723472])],[array([-0.55411276])],0.3280175987532239
2,[array([-0.59625835])],[array([-0.54907326])],0.36959898926217244
0,[array([-0.58567743])],[array([-0.55482283])],0.3431406130585497
2,[array([-0.59576702])],[array([-0.54994367])],0.3714230210994973
0,[array([-0.58208165])],[array([-0.55886377])],0.35033220651593844
2,[array([-0.59230523])],[array([-0.55446149])],0.3795971562338677
0,[array([-0.5792583])],[array([-0.55999603])],0.3675964773294673
2,[array([-0.58852781])],[array([-0.55598515])],0.41225695849654875
0,[array([-0.5767768])],[array([-0.55982305])],0.3952052373017674
2,[array([-0.58532321])],[array([-0.56143124])],0.4461720690604113
